founder_name,first_name,last_name,tjhsst_graduation_year,tjhsst_year_confidence,tjhsst_evidence,tjhsst_source_url,company_name,company_website,founder_role,founding_year,company_status,industry,subindustry,company_description,headquarters,venture_backed,total_funding,latest_known_round,notable_investors,accelerator,acquisition_or_exit,acquirer,exit_year,current_founder_role,founder_linkedin,founder_personal_website,company_linkedin,founder_evidence,founder_source_url,additional_sources,discovery_method,discovered_via,discovery_source_url,confidence_score,notes,universities_attended
Tiffney Kathir,Tiffney,Kathir,2014,Confirmed,FCPS alumni coverage identifies Kathir as TJHSST Class of 2014.,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/3e3321b,Tilt Desserts,Unknown,Founder,2020,Active,E-commerce,Food and desserts,Dessert business founded by TJ alumna Tiffney Kathir.,Northern Virginia,Bootstrapped,Unknown,Unknown,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FCPS alumni coverage identifies Kathir as founder.,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/3e3321b,Unknown,TJ/FCPS alumni publication,FCPS alumni newsletter,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/3e3321b,4,Unknown,Unknown
Joyce Meng,Joyce,Meng,2004,Strongly inferred,National language-contest results place Meng at TJHSST in 2004; Penn’s class timeline supports a 2004 graduation.,https://www.ncfl.org/uploads/7/3/2/8/7328308/ncfl_results_-_2004.pdf,Givology,https://www.givology.org/,Co-founder and CEO,2008,Active,Nonprofit,Education philanthropy,Volunteer-run education-giving marketplace supporting students and grassroots partners.,"Philadelphia, PA",No,Unknown,Donations,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,https://www.joycemeng.com/,Unknown,Meng’s personal site and FCPS coverage identify her as Givology co-founder.,https://www.joycemeng.com/,Unknown,TJ/FCPS alumni publication,FCPS alumni newsletter,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/41279b9,5,Unknown,University of Pennsylvania; Harvard University
Joyce Meng,Joyce,Meng,2004,Strongly inferred,National language-contest results place Meng at TJHSST in 2004; Penn’s class timeline supports a 2004 graduation.,https://www.ncfl.org/uploads/7/3/2/8/7328308/ncfl_results_-_2004.pdf,FACT Capital,https://www.factcapital.com/,Founder,2023,Active,Venture Capital,Investment firm,Investment firm founded by Joyce Meng.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,https://www.joycemeng.com/,Unknown,Meng’s personal site identifies her as FACT Capital founder.,https://www.joycemeng.com/,Unknown,TJ/FCPS alumni publication,FCPS alumni newsletter,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/41279b9,5,Unknown,University of Pennsylvania; Harvard University
Kevin Cao,Kevin,Cao,2013,Strongly inferred,The Washington Post identifies Cao as a TJHSST junior in 2011; 2013 is inferred from that grade-level record.,https://www.washingtonpost.com/local/fairfax-high-school-students-GIVE-through-tutoring/2011/12/30/gIQApnr3RP_story.html,GIVE,Unknown,Co-founder,2010,Active,Nonprofit,Peer tutoring,"Growth and Inspiration through Volunteering and Education, a student-led tutoring nonprofit.",Northern Virginia,No,Unknown,Donations,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Contemporaneous Washington Post coverage identifies Cao as co-founder.,https://www.washingtonpost.com/local/fairfax-high-school-students-GIVE-through-tutoring/2011/12/30/gIQApnr3RP_story.html,Unknown,Young-founder search,Washington Post student-founder profile,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Rohith Yelisetty,Rohith,Yelisetty,2025,Confirmed,CoCA’s team page identifies Yelisetty as a TJHSST Class of 2025 co-founder.,https://cocawalk.com/aboutus.html,Connected Crosswalk Assistance (CoCA),https://cocawalk.com/,Co-founder and CEO,2023,Active,Hardware,Pedestrian safety,Student-founded connected-crosswalk safety system.,"Fairfax, VA",No,Unknown,Competitions / grants,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CoCA’s official team page identifies the student co-founders and roles.,https://cocawalk.com/aboutus.html,Unknown,Young-founder search,CoCA team page,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Tanush Kallem,Tanush,Kallem,2025,Confirmed,CoCA’s team page identifies Kallem as a TJHSST Class of 2025 co-founder.,https://cocawalk.com/aboutus.html,Connected Crosswalk Assistance (CoCA),https://cocawalk.com/,Co-founder and COO,2023,Active,Hardware,Pedestrian safety,Student-founded connected-crosswalk safety system.,"Fairfax, VA",No,Unknown,Competitions / grants,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CoCA’s official team page identifies the student co-founders and roles.,https://cocawalk.com/aboutus.html,Unknown,Young-founder search,CoCA team page,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Adithiya Balaguru,Adithiya,Balaguru,2025,Strongly inferred,CoCA’s team page identifies Balaguru as a TJHSST co-founder and junior alongside the Class of 2025 team.,https://cocawalk.com/aboutus.html,Connected Crosswalk Assistance (CoCA),https://cocawalk.com/,Co-founder and CFO,2023,Active,Hardware,Pedestrian safety,Student-founded connected-crosswalk safety system.,"Fairfax, VA",No,Unknown,Competitions / grants,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CoCA’s official team page identifies the student co-founders and roles.,https://cocawalk.com/aboutus.html,Unknown,Young-founder search,CoCA team page,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Arnav Bhalla,Arnav,Bhalla,2025,Confirmed,CoCA’s team page identifies Bhalla as a TJHSST Class of 2025 co-founder.,https://cocawalk.com/aboutus.html,Connected Crosswalk Assistance (CoCA),https://cocawalk.com/,Co-founder and CMO,2023,Active,Hardware,Pedestrian safety,Student-founded connected-crosswalk safety system.,"Fairfax, VA",No,Unknown,Competitions / grants,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CoCA’s official team page identifies the student co-founders and roles.,https://cocawalk.com/aboutus.html,Unknown,Young-founder search,CoCA team page,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Anirudh Mantha,Anirudh,Mantha,2024,Confirmed,CoCA’s team page identifies Mantha as a TJHSST Class of 2024 co-founder.,https://cocawalk.com/aboutus.html,Connected Crosswalk Assistance (CoCA),https://cocawalk.com/,Co-founder and CTO,2023,Active,Hardware,Pedestrian safety,Student-founded connected-crosswalk safety system.,"Fairfax, VA",No,Unknown,Competitions / grants,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CoCA’s official team page identifies the student co-founders and roles.,https://cocawalk.com/aboutus.html,Unknown,Young-founder search,CoCA team page,https://www.tjhsst.network/alumni,5,Unknown,Unknown
Abhishek Bhargava,Abhishek,Bhargava,2016,Strongly inferred,School/PTA records place Bhargava at TJHSST as a freshman in 2012; 2016 follows directly from the grade-level timeline.,https://www.mantuapta.org/documents/dtf/2012-13/an/Alert101612.pdf,Vectordash,Unknown,Co-founder,2018,Acquired,Gaming,Cloud gaming,Cloud-gaming service founded by Abhishek Bhargava.,"San Francisco, CA",Yes,Unknown,Seed,Y Combinator; others,Y Combinator S18,Acquired,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder biographies identify Bhargava’s founder roles.,https://www.crunchbase.com/person/abhishek-bhargava,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,Recursive founder-network expansion,TJ founder biography expansion,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,3,Unknown,Harvard University
Abhishek Bhargava,Abhishek,Bhargava,2016,Strongly inferred,School/PTA records place Bhargava at TJHSST as a freshman in 2012; 2016 follows directly from the grade-level timeline.,https://www.mantuapta.org/documents/dtf/2012-13/an/Alert101612.pdf,Covalent,Unknown,Co-founder,2020,Acquired,Artificial Intelligence,Machine-learning operations,Machine-learning infrastructure startup founded by Abhishek Bhargava.,"San Francisco, CA",Yes,Unknown,Seed,Unknown,Unknown,Acquired,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder biographies identify Bhargava’s founder roles.,https://www.crunchbase.com/person/abhishek-bhargava,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,Recursive founder-network expansion,TJ founder biography expansion,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,3,Unknown,Harvard University
Abhishek Bhargava,Abhishek,Bhargava,2016,Strongly inferred,School/PTA records place Bhargava at TJHSST as a freshman in 2012; 2016 follows directly from the grade-level timeline.,https://www.mantuapta.org/documents/dtf/2012-13/an/Alert101612.pdf,BetterBrain,Unknown,Founder,2023,Active,Healthcare,Digital health,Cognitive-health and performance company founded by Abhishek Bhargava.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Founder biographies identify Bhargava’s founder roles.,https://www.crunchbase.com/person/abhishek-bhargava,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,Recursive founder-network expansion,TJ founder biography expansion,https://abhishekbhargava.substack.com/p/cant-believe-its-been-15-years,3,Unknown,Harvard University
Alex Talamonti,Alex,Talamonti,2021,Strongly inferred,Talamonti publicly states that he and Jason He met at TJHSST; 2021 is inferred from their 2021–25 university timelines.,https://www.linkedin.com/in/alexander-talamonti,Quotain (Eden AI),https://www.quotain.com/,Co-founder,2025,Active,Artificial Intelligence,AI market intelligence,YC S25 company building AI tools for market and investment research; also branded Eden AI.,"San Francisco, CA",Yes,Unknown,YC S25,Y Combinator,Y Combinator S25,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Y Combinator and founder profiles identify Talamonti and He as co-founders.,https://www.ycombinator.com/companies/quotain/jobs,https://www.quotain.com/about,Recursive founder-network expansion,Sophia Kianni network expansion,https://www.linkedin.com/in/alexander-talamonti,4,Unknown,New York University
Jason He,Jason,He,2021,Strongly inferred,Talamonti publicly states that he and Jason He met at TJHSST; 2021 is inferred from their 2021–25 university timelines.,https://www.linkedin.com/in/alexander-talamonti,Quotain (Eden AI),https://www.quotain.com/,Co-founder,2025,Active,Artificial Intelligence,AI market intelligence,YC S25 company building AI tools for market and investment research; also branded Eden AI.,"San Francisco, CA",Yes,Unknown,YC S25,Y Combinator,Y Combinator S25,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Y Combinator and founder profiles identify Talamonti and He as co-founders.,https://www.ycombinator.com/companies/quotain/jobs,https://www.quotain.com/about,Recursive founder-network expansion,Sophia Kianni network expansion,https://www.linkedin.com/in/alexander-talamonti,4,Unknown,University of Virginia
Ana Malhotra,Ana,Malhotra,2015,Confirmed,Malhotra’s public post explicitly identifies her as a TJHSST 2015 graduate.,https://www.linkedin.com/posts/ana-malhotra_gooooocolonials-activity-7315055780871774210-wXNo,Rome,Unknown,Founder and CEO,2024,Active,Consumer,Travel technology,Travel technology startup founded and led by Ana Malhotra.,"New York, NY",Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/ana-malhotra,Unknown,Unknown,Malhotra’s professional profile identifies her as Rome founder/CEO.,https://www.linkedin.com/in/ana-malhotra,Unknown,LinkedIn/biography cross-search,Founder LinkedIn post,https://www.linkedin.com/posts/ana-malhotra_gooooocolonials-activity-7315055780871774210-wXNo,4,Unknown,George Washington University
